filename,title,year
144_ascet-1903.jpg,ascet,1903
145_breakfast-of-a-blind-man-1903.jpg,breakfast of a blind man,1903
146_dawn-at-riera-de-sant-joan-1903.jpg,dawn at riera de sant joan,1903
147_dinner-time-evocation-of-horta-d-ebre-1903.jpg,dinner time evocation of horta d ebre,1903
148_group-of-poor-people-1903.jpg,group of poor people,1903
149_life-1903.jpg,life,1903
14_portrait-of-the-artist-s-mother-1896.jpg,portrait of the artist s mother,1896
150_man-and-woman-in-caf%C3%A9-1903.jpg,man and woman in café,1903
151_man-and-woman-in-caf%C3%A9-study-1903.jpg,man and woman in café study,1903
152_man-and-woman-with-child-in-caf%C3%A9-1903.jpg,man and woman with child in café,1903
153_mother-and-son-with-handkerchief-1903.jpg,mother and son with handkerchief,1903
155_old-blind-man-with-boy-1903.jpg,old blind man with boy,1903
156_palace-of-arts-barcelona-1903.jpg,palace of arts barcelona,1903
157_portrait-of-a-tailor-soler-1903.jpg,portrait of a tailor soler,1903
158_portrait-of-seniora-soler-girl-in-a-chemise-1903.jpg,portrait of seniora soler girl in a chemise,1903
159_portrait-of-the-artist-1903.jpg,portrait of the artist,1903
15_quarries-1896.jpg,quarries,1896
160_s-junyer-vidal-with-woman-beside-him-1903.jpg,s junyer vidal with woman beside him,1903
161_seated-female-nude-1903.jpg,seated female nude,1903
162_seated-woman-on-a-striped-floor-1903.jpg,seated woman on a striped floor,1903
163_sebastia-junyer-vidal-as-matador-1903.jpg,sebastia junyer vidal as matador,1903
164_sebastia-junyer-vidal-as-rhapsode-1903.jpg,sebastia junyer vidal as rhapsode,1903
165_soler-family-1903.jpg,soler family,1903
166_the-absinthe-drinker-portrait-of-angel-fernandez-de-soto-1903.jpg,the absinthe drinker portrait of angel fernandez de soto,1903
167_the-embrace-1903.jpg,the embrace,1903
168_the-family-of-blind-man-1903.jpg,the family of blind man,1903
169_the-mackerel-1903.jpg,the mackerel,1903
16_self-portrait-1896.jpg,self portrait,1896
170_the-old-blind-guitarist-1903.jpg,the old blind guitarist,1903
171_the-roofs-of-barcelona-1903.jpg,the roofs of barcelona,1903
172_the-roofs-of-barcelona-in-the-moonlight-1903.jpg,the roofs of barcelona in the moonlight,1903
173_the-soup-1903.jpg,the soup,1903
174_the-tragedy-1903.jpg,the tragedy,1903
175_two-nudes-and-a-cat-1903.jpg,two nudes and a cat,1903
176_woman-with-cigarette-1903.jpg,woman with cigarette,1903
179_a-simple-meal-1904.jpg,a simple meal,1904
17_the-altarboy-1896.jpg,the altarboy,1896
180_a-simple-meal-1904-1.jpg,a simple meal,1904
181_an-actor-1904.jpg,an actor,1904
182_blind-man-and-girl-1904.jpg,blind man and girl,1904
183_celestina-1904.jpg,celestina,1904
184_celestina-1904-1.jpg,celestina,1904
185_lovers-1904.jpg,lovers,1904
186_madeleine-1904.jpg,madeleine,1904
187_madonna-with-garland-1904.jpg,madonna with garland,1904
188_mother-and-child-study-1904.jpg,mother and child study,1904
189_picasso-and-s-junier-vidal-sitting-near-celestina-1904.jpg,picasso and s junier vidal sitting near celestina,1904
18_advertisement-for-tavern-four-cats-1897.jpg,advertisement for tavern four cats,1897
190_portrait-of-jaime-sabartes-1904.jpg,portrait of jaime sabartes,1904
191_portrait-of-nude-casagemas-1904.jpg,portrait of nude casagemas,1904
192_portrait-of-sebastia-junyent-sans-1904.jpg .jpg,portrait of sebastia junyent sans,1904
193_portrait-of-suzanne-bloch-1904.jpg,portrait of suzanne bloch,1904
194_sleeping-nude-1904.jpg,sleeping nude,1904
195_sleeping-woman-meditation-1904.jpg,sleeping woman meditation,1904
196_standing-young-nude-1904.jpg,standing young nude,1904
197_the-catalan-sculptor-manolo-manuel-hugu%C3%A9-1904.jpg,the catalan sculptor manolo manuel hugué,1904
198_the-fool-1904.jpg,the fool,1904
199_the-fool-1904-1.jpg,the fool,1904
19_science-and-charity-1897.jpg,science and charity,1897
1_house-in-the-field-1893.jpg,house in the field,1893
200_the-ironer-1904.jpg,the ironer,1904
201_the-room-of-the-ironer-1904.jpg,the room of the ironer,1904
202_two-figures-1904.jpg,two figures,1904
203_two-friends-1904.jpg,two friends,1904
204_two-friends-1904-1.jpg,two friends,1904
205_woman-leaning-ahead-1904.jpg,woman leaning ahead,1904
206_woman-with-her-hair-in-a-small-bun-1904.jpg,woman with her hair in a small bun,1904
207_woman-with-raven-1904.jpg,woman with raven,1904
208_woman-with-raven-1904-1.jpg,woman with raven,1904
209_a-bank-of-canal-1905.jpg,a bank of canal,1905
210_a-boat-on-the-canal-1905.jpg,a boat on the canal,1905
211_a-boy-with-pipe-1905.jpg,a boy with pipe,1905
212_a-horsewoman-1905.jpg,a horsewoman,1905
213_acrobat-and-young-harlequin-1905.jpg,acrobat and young harlequin,1905
214_at-lapin-agile-harlequin-with-glass-1905.jpg,at lapin agile harlequin with glass,1905
215_boy-with-a-dog-1905.jpg,boy with a dog,1905
216_boy-with-bouquet-of-flowers-in-his-hand-1905.jpg,boy with bouquet of flowers in his hand,1905
217_dutch-girl-1905.jpg,dutch girl,1905
218_dutch-landscape-with-windmills-1905.jpg,dutch landscape with windmills,1905
219_dutchwoman-beside-the-canal-1905.jpg,dutchwoman beside the canal,1905
21_head-of-a-man-in-el-greco-style-1899.jpg,head of a man in el greco style,1899
220_family-of-acrobats-1905.jpg,family of acrobats,1905
221_family-of-acrobats-jugglers-1905.jpg,family of acrobats jugglers,1905
222_family-of-acrobats-study-1905.jpg,family of acrobats study,1905
223_family-of-acrobats-with-monkey-1905.jpg,family of acrobats with monkey,1905
224_family-of-jugglers-1905.jpg,family of jugglers,1905
225_girl-on-the-ball-1905.jpg,girl on the ball,1905
226_harlequin-on-the-horseback-1905.jpg,harlequin on the horseback,1905
227_harlequin-s-family-1905.jpg,harlequin s family,1905
228_harlequin-s-family-1905-1.jpg,harlequin s family,1905
229_harlequin-s-head-1905.jpg,harlequin s head,1905
22_la-chata-1899.jpg,la chata,1899
230_head-of-hurdy-gurdy-1905.jpg,head of hurdy gurdy,1905
231_head-of-young-man-1905.jpg,head of young man,1905
232_hurdy-gurdy-1905.jpg,hurdy gurdy,1905
233_madame-soler-1905.jpg,madame soler,1905
234_mallorcan-1905.jpg,mallorcan,1905
235_mother-and-child-1905.jpg,mother and child,1905
236_mother-and-child-baladins-1905.jpg,mother and child baladins,1905
237_nudes-interlaces-1905.jpg,nudes interlaces,1905
238_portrait-of-madame-canals-1905.jpg,portrait of madame canals,1905
239_profile-of-young-dutchwoman-1905.jpg,profile of young dutchwoman,1905
23_lola-1899.jpg,lola,1899
240_right-profile-of-clown-1905.jpg,right profile of clown,1905
241_salome-1905.jpg,salome,1905
242_seated-fat-clown-1905.jpg,seated fat clown,1905
243_seated-female-nude-1905.jpg,seated female nude,1905
244_seated-monkey-1905.jpg,seated monkey,1905
245_the-bread-carrier-1905.jpg,the bread carrier,1905
246_the-three-dutchwoman-1905.jpg,the three dutchwoman,1905
247_two-acrobats-with-a-dog-1905.jpg,two acrobats with a dog,1905
248_two-roosters-1905.jpg,two roosters,1905
249_venus-and-cupid-1905.jpg,venus and cupid,1905
250_woman-with-a-fan-1905.jpg,woman with a fan,1905
251_woman-s-profile-1905.jpg,woman s profile,1905
252_young-acrobat-and-clown-1905.jpg,young acrobat and clown,1905
253_young-naked-girl-with-flower-basket-1905.jpg,young naked girl with flower basket,1905
256_bed-with-mosquito-nets-1906.jpg,bed with mosquito nets,1906
257_boy-leading-a-horse-1906.jpg,boy leading a horse,1906
258_bust-of-nude-woman-1906.jpg,bust of nude woman,1906
259_bust-of-woman-1906.jpg,bust of woman,1906
25_portrait-of-josep-cardona-1899.jpg,portrait of josep cardona,1899
260_bust-of-woman-1906-1.jpg,bust of woman,1906
261_composition-peasants-1906.jpg,composition peasants,1906
262_el-tinen-1906.jpg,el tinen,1906
263_female-nude-in-profile-1906.jpg,female nude in profile,1906
264_fernande-with-shawl-1906.jpg,fernande with shawl,1906
265_fernande-s-head-1906.jpg,fernande s head,1906
266_girl-and-goat-1906.jpg,girl and goat,1906
267_hairdressing-1906.jpg,hairdressing,1906
268_harlequin-s-death-1906.jpg,harlequin s death,1906
269_head-of-young-man-1906.jpg,head of young man,1906
26_a-spanish-couple-in-front-of-inn-1900.jpg,a spanish couple in front of inn,1900
270_nude-with-her-hands-pressed-to-each-other-1906.jpg,nude with her hands pressed to each other,1906
271_nude-woman-naked-face-and-nude-woman-profile-1906.jpg,nude woman naked face and nude woman profile,1906
272_nude-youth-1906.jpg,nude youth,1906
273_nude-study-to-harem-1906.jpg,nude study to harem,1906
274_peasants-1906.jpg,peasants,1906
275_portrait-of-allan-stein-1906.jpg,portrait of allan stein,1906
276_portrait-of-fernande-olivier-in-headscarves-1906.jpg,portrait of fernande olivier in headscarves,1906
277_portrait-of-gertrude-stein-1906.jpg,portrait of gertrude stein,1906
